Numero de documentos (tweets) del corpus: 18046
Número de palabras del corpus: 235132
Palabra: apartment Frec: 9 LogProb: -10.168271963009413
Palabra: apartments Frec: 4 LogProb: -10.861419143569359
Palabra: apnea Frec: 4 LogProb: -10.861419143569359
Palabra: apocalypse Frec: 16 LogProb: -9.637643711947241
Palabra: apologise Frec: 10 LogProb: -10.072961783205088
Palabra: apologize Frec: 7 LogProb: -10.391415514323622
Palabra: app Frec: 55 LogProb: -8.445505365268309
Palabra: apparent Frec: 6 LogProb: -10.524946906948145
Palabra: apparently Frec: 20 LogProb: -9.426334618280036
Palabra: appeal Frec: 12 LogProb: -9.905907698541922
Palabra: appealing Frec: 9 LogProb: -10.168271963009413
Palabra: appear Frec: 11 LogProb: -9.985950406215458
Palabra: appeared Frec: 5 LogProb: -10.679097586775404
Palabra: appearing Frec: 6 LogProb: -10.524946906948145
Palabra: appears Frec: 12 LogProb: -9.905907698541922
Palabra: applaud Frec: 14 LogProb: -9.762806854901248
Palabra: applauded Frec: 5 LogProb: -10.679097586775404
Palabra: applause Frec: 6 LogProb: -10.524946906948145
Palabra: apple Frec: 4 LogProb: -10.861419143569359
Palabra: appliances Frec: 12 LogProb: -9.905907698541922
Palabra: applicable Frec: 4 LogProb: -10.861419143569359
Palabra: application Frec: 10 LogProb: -10.072961783205088
Palabra: applications Frec: 11 LogProb: -9.985950406215458
Palabra: applied Frec: 11 LogProb: -9.985950406215458
Palabra: applies Frec: 9 LogProb: -10.168271963009413
Palabra: apply Frec: 39 LogProb: -8.781977601889523
Palabra: applying Frec: 6 LogProb: -10.524946906948145
Palabra: appointment Frec: 9 LogProb: -10.168271963009413
Palabra: appointments Frec: 6 LogProb: -10.524946906948145
Palabra: appreciate Frec: 96 LogProb: -7.896146077500076
Palabra: appreciated Frec: 41 LogProb: -8.73318743772009
Palabra: appreciates Frec: 4 LogProb: -10.861419143569359
Palabra: appreciation Frec: 29 LogProb: -9.069659674341302
Palabra: approach Frec: 29 LogProb: -9.069659674341302
Palabra: approaches Frec: 5 LogProb: -10.679097586775404
Palabra: appropriate Frec: 12 LogProb: -9.905907698541922
Palabra: appropriately Frec: 7 LogProb: -10.391415514323622
Palabra: approval Frec: 9 LogProb: -10.168271963009413
Palabra: approve Frec: 11 LogProb: -9.985950406215458
Palabra: approved Frec: 59 LogProb: -8.376512493781359
Palabra: approx Frec: 4 LogProb: -10.861419143569359
Palabra: approximately Frec: 7 LogProb: -10.391415514323622
Palabra: apps Frec: 36 LogProb: -8.859939143359234
Palabra: area Frec: 108 LogProb: -7.779509173774315
Palabra: areas Frec: 51 LogProb: -8.519613337422031
Palabra: aren Frec: 17 LogProb: -9.580485298107295
Palabra: argue Frec: 4 LogProb: -10.861419143569359
Palabra: argues Frec: 5 LogProb: -10.679097586775404
Palabra: arguing Frec: 4 LogProb: -10.861419143569359
Palabra: argument Frec: 4 LogProb: -10.861419143569359
Palabra: arguments Frec: 4 LogProb: -10.861419143569359
Palabra: arising Frec: 5 LogProb: -10.679097586775404
Palabra: arm Frec: 8 LogProb: -10.273632478667238
Palabra: armed Frec: 5 LogProb: -10.679097586775404
Palabra: arms Frec: 9 LogProb: -10.168271963009413
Palabra: army Frec: 12 LogProb: -9.905907698541922
Palabra: arrange Frec: 5 LogProb: -10.679097586775404
Palabra: arrangements Frec: 7 LogProb: -10.391415514323622
Palabra: arrive Frec: 10 LogProb: -10.072961783205088
Palabra: arrived Frec: 14 LogProb: -9.762806854901248
Palabra: arrives Frec: 4 LogProb: -10.861419143569359
Palabra: arriving Frec: 7 LogProb: -10.391415514323622
Palabra: arrows Frec: 5 LogProb: -10.679097586775404
Palabra: arse Frec: 6 LogProb: -10.524946906948145
Palabra: art Frec: 19 LogProb: -9.475124782449468
Palabra: arthritis Frec: 4 LogProb: -10.861419143569359
Palabra: article Frec: 128 LogProb: -7.6110446516417865
Palabra: articles Frec: 16 LogProb: -9.637643711947241
Palabra: artificial Frec: 6 LogProb: -10.524946906948145
Palabra: artificially Frec: 6 LogProb: -10.524946906948145
Palabra: artisanal Frec: 4 LogProb: -10.861419143569359
Palabra: artist Frec: 13 LogProb: -9.8317997263882
Palabra: artists Frec: 11 LogProb: -9.985950406215458
Palabra: arts Frec: 5 LogProb: -10.679097586775404
Palabra: asda Frec: 6 LogProb: -10.524946906948145
Palabra: ashamed Frec: 8 LogProb: -10.273632478667238
Palabra: aside Frec: 21 LogProb: -9.379814602645142
Palabra: ask Frec: 103 LogProb: -7.826466156862086
Palabra: asked Frec: 85 LogProb: -8.016509759749951
Palabra: asking Frec: 79 LogProb: -8.088830421329577
Palabra: asks Frec: 13 LogProb: -9.8317997263882
Palabra: aspect Frec: 4 LogProb: -10.861419143569359
Palabra: aspects Frec: 7 LogProb: -10.391415514323622
Palabra: ass Frec: 18 LogProb: -9.526418076837018
Palabra: asses Frec: 4 LogProb: -10.861419143569359
Palabra: assess Frec: 8 LogProb: -10.273632478667238
Palabra: assessment Frec: 6 LogProb: -10.524946906948145
Palabra: asset Frec: 26 LogProb: -9.17502018999913
Palabra: assets Frec: 15 LogProb: -9.698268333763677
Palabra: asshole Frec: 8 LogProb: -10.273632478667238
Palabra: assholes Frec: 5 LogProb: -10.679097586775404
Palabra: assignments Frec: 6 LogProb: -10.524946906948145
Palabra: assist Frec: 25 LogProb: -9.212760517981977
Palabra: assistance Frec: 66 LogProb: -8.266164436612492
Palabra: assistant Frec: 9 LogProb: -10.168271963009413
Palabra: assistants Frec: 9 LogProb: -10.168271963009413
Palabra: assisting Frec: 4 LogProb: -10.861419143569359
Palabra: associate Frec: 6 LogProb: -10.524946906948145
Palabra: associated Frec: 7 LogProb: -10.391415514323622
Palabra: associates Frec: 21 LogProb: -9.379814602645142
Palabra: association Frec: 6 LogProb: -10.524946906948145
Palabra: assume Frec: 13 LogProb: -9.8317997263882
Palabra: assure Frec: 16 LogProb: -9.637643711947241
Palabra: assured Frec: 19 LogProb: -9.475124782449468
Palabra: assures Frec: 7 LogProb: -10.391415514323622
Palabra: asthma Frec: 6 LogProb: -10.524946906948145
Palabra: asthmatic Frec: 4 LogProb: -10.861419143569359
Palabra: astronomical Frec: 5 LogProb: -10.679097586775404
Palabra: asymptomatic Frec: 12 LogProb: -9.905907698541922
Palabra: athletes Frec: 11 LogProb: -9.985950406215458
Palabra: atleast Frec: 6 LogProb: -10.524946906948145
Palabra: atm Frec: 9 LogProb: -10.168271963009413
Palabra: atmosphere Frec: 4 LogProb: -10.861419143569359
Palabra: attached Frec: 9 LogProb: -10.168271963009413
Palabra: attempt Frec: 14 LogProb: -9.762806854901248
Palabra: attempting Frec: 9 LogProb: -10.168271963009413
Palabra: attend Frec: 13 LogProb: -9.8317997263882
Palabra: attendants Frec: 17 LogProb: -9.580485298107295
Palabra: attention Frec: 24 LogProb: -9.251981231135257
Palabra: attitude Frec: 7 LogProb: -10.391415514323622
Palabra: attitudes Frec: 22 LogProb: -9.335362840074309
Palabra: attorney Frec: 5 LogProb: -10.679097586775404
Palabra: attract Frec: 5 LogProb: -10.679097586775404
Palabra: attractive Frec: 6 LogProb: -10.524946906948145
Palabra: audiences Frec: 5 LogProb: -10.679097586775404
Palabra: ausbiz Frec: 4 LogProb: -10.861419143569359
Palabra: auspol Frec: 32 LogProb: -8.974349494536979
Palabra: authorities Frec: 29 LogProb: -9.069659674341302
Palabra: authority Frec: 6 LogProb: -10.524946906948145
Palabra: authorized Frec: 4 LogProb: -10.861419143569359
Palabra: auto Frec: 20 LogProb: -9.426334618280036
Palabra: automatic Frec: 4 LogProb: -10.861419143569359
Palabra: automatically Frec: 10 LogProb: -10.072961783205088
Palabra: automation Frec: 7 LogProb: -10.391415514323622
Palabra: automotive Frec: 9 LogProb: -10.168271963009413
Palabra: avail Frec: 4 LogProb: -10.861419143569359
Palabra: availability Frec: 27 LogProb: -9.138652545828254
Palabra: available Frec: 318 LogProb: -6.705665953218614
Palabra: average Frec: 39 LogProb: -8.781977601889523
Palabra: avoid Frec: 118 LogProb: -7.691733562891929
Palabra: avoided Frec: 4 LogProb: -10.861419143569359
Palabra: avoiding Frec: 12 LogProb: -9.905907698541922
Palabra: await Frec: 4 LogProb: -10.861419143569359
Palabra: aware Frec: 51 LogProb: -8.519613337422031
Palabra: awareness Frec: 27 LogProb: -9.138652545828254
Palabra: away Frec: 181 LogProb: -7.266850368926663
Palabra: awesome Frec: 30 LogProb: -9.036869851518311
Palabra: awful Frec: 9 LogProb: -10.168271963009413
Palabra: awhile Frec: 4 LogProb: -10.861419143569359
Palabra: b Frec: 38 LogProb: -8.807295409873813
Palabra: babies Frec: 8 LogProb: -10.273632478667238
Palabra: baby Frec: 44 LogProb: -8.664194566233139
Palabra: backbone Frec: 5 LogProb: -10.679097586775404
Palabra: backed Frec: 11 LogProb: -9.985950406215458
Palabra: bacon Frec: 7 LogProb: -10.391415514323622
Palabra: bacteria Frec: 17 LogProb: -9.580485298107295
Palabra: bacterial Frec: 5 LogProb: -10.679097586775404
Palabra: bad Frec: 58 LogProb: -8.393319612097738
Palabra: badly Frec: 7 LogProb: -10.391415514323622
Palabra: bag Frec: 55 LogProb: -8.445505365268309
Palabra: baggers Frec: 5 LogProb: -10.679097586775404
Palabra: bagging Frec: 5 LogProb: -10.679097586775404
Palabra: bags Frec: 76 LogProb: -8.127051634149774
Palabra: bail Frec: 11 LogProb: -9.985950406215458
Palabra: bailout Frec: 11 LogProb: -9.985950406215458
Palabra: bailouts Frec: 12 LogProb: -9.905907698541922
Palabra: baked Frec: 11 LogProb: -9.985950406215458
Palabra: bakeries Frec: 4 LogProb: -10.861419143569359
Palabra: bakers Frec: 5 LogProb: -10.679097586775404
Palabra: bakery Frec: 14 LogProb: -9.762806854901248
Palabra: baking Frec: 6 LogProb: -10.524946906948145
Palabra: balance Frec: 15 LogProb: -9.698268333763677
Palabra: balcony Frec: 4 LogProb: -10.861419143569359
Palabra: ball Frec: 6 LogProb: -10.524946906948145
Palabra: balls Frec: 4 LogProb: -10.861419143569359
Palabra: ban Frec: 10 LogProb: -10.072961783205088
Palabra: banana Frec: 4 LogProb: -10.861419143569359
Palabra: bananas Frec: 11 LogProb: -9.985950406215458
Palabra: band Frec: 5 LogProb: -10.679097586775404
Palabra: bandana Frec: 6 LogProb: -10.524946906948145
Palabra: bank Frec: 126 LogProb: -7.626669969544867
Palabra: bankers Frec: 16 LogProb: -9.637643711947241
Palabra: banking Frec: 12 LogProb: -9.905907698541922
Palabra: bankruptcy Frec: 4 LogProb: -10.861419143569359
Palabra: banks Frec: 149 LogProb: -7.460221761907203
Palabra: banned Frec: 6 LogProb: -10.524946906948145
Palabra: banning Frec: 12 LogProb: -9.905907698541922
Palabra: bans Frec: 12 LogProb: -9.905907698541922
Palabra: bar Frec: 23 LogProb: -9.292803225655513
Palabra: bare Frec: 36 LogProb: -8.859939143359234
Palabra: barely Frec: 9 LogProb: -10.168271963009413
Palabra: bargain Frec: 15 LogProb: -9.698268333763677
Palabra: bargaining Frec: 4 LogProb: -10.861419143569359
Palabra: barrel Frec: 13 LogProb: -9.8317997263882
Palabra: barrels Frec: 4 LogProb: -10.861419143569359
Palabra: barren Frec: 4 LogProb: -10.861419143569359
Palabra: barrier Frec: 6 LogProb: -10.524946906948145
Palabra: barriers Frec: 8 LogProb: -10.273632478667238
Palabra: bars Frec: 25 LogProb: -9.212760517981977
Palabra: base Frec: 16 LogProb: -9.637643711947241
Palabra: baseball Frec: 4 LogProb: -10.861419143569359
Palabra: based Frec: 153 LogProb: -7.433904453589829
Palabra: bases Frec: 4 LogProb: -10.861419143569359
Palabra: basic Frec: 82 LogProb: -8.05201644820686
Palabra: basically Frec: 17 LogProb: -9.580485298107295
Palabra: basics Frec: 12 LogProb: -9.905907698541922
Palabra: basis Frec: 20 LogProb: -9.426334618280036
Palabra: basket Frec: 24 LogProb: -9.251981231135257
Palabra: baskets Frec: 14 LogProb: -9.762806854901248
Palabra: batch Frec: 5 LogProb: -10.679097586775404
Palabra: bathroom Frec: 17 LogProb: -9.580485298107295
Palabra: battle Frec: 28 LogProb: -9.103561226016984
Palabra: battling Frec: 9 LogProb: -10.168271963009413
Palabra: bay Frec: 13 LogProb: -9.8317997263882
Palabra: bazaar Frec: 4 LogProb: -10.861419143569359
Palabra: bbcnews Frec: 4 LogProb: -10.861419143569359
Palabra: bc Frec: 37 LogProb: -8.833270896277073
Palabra: bcs Frec: 4 LogProb: -10.861419143569359
Palabra: beach Frec: 10 LogProb: -10.072961783205088
Palabra: beaches Frec: 5 LogProb: -10.679097586775404
Palabra: beans Frec: 28 LogProb: -9.103561226016984
