Numero de documentos (tweets) del corpus: 15398
Número de palabras del corpus: 201014
Palabra: arrived Frec: 15 LogProb: -9.557964480394498
Palabra: arrogant Frec: 4 LogProb: -10.72111529020018
Palabra: arrows Frec: 5 LogProb: -10.538793733406225
Palabra: arsehole Frec: 6 LogProb: -10.384643053578966
Palabra: arseholes Frec: 11 LogProb: -9.84564655284628
Palabra: art Frec: 6 LogProb: -10.384643053578966
Palabra: article Frec: 55 LogProb: -8.30520151189913
Palabra: articles Frec: 4 LogProb: -10.72111529020018
Palabra: artificial Frec: 6 LogProb: -10.384643053578966
Palabra: artificially Frec: 4 LogProb: -10.72111529020018
Palabra: artists Frec: 9 LogProb: -10.027968109640234
Palabra: asap Frec: 4 LogProb: -10.72111529020018
Palabra: asda Frec: 7 LogProb: -10.251111660954443
Palabra: ashamed Frec: 40 LogProb: -8.616981135929972
Palabra: asia Frec: 6 LogProb: -10.384643053578966
Palabra: aside Frec: 15 LogProb: -9.557964480394498
Palabra: ask Frec: 70 LogProb: -8.067873325592963
Palabra: asked Frec: 98 LogProb: -7.735433352499689
Palabra: asking Frec: 76 LogProb: -7.986747780780595
Palabra: asks Frec: 15 LogProb: -9.557964480394498
Palabra: ass Frec: 68 LogProb: -8.09644669803702
Palabra: assault Frec: 7 LogProb: -10.251111660954443
Palabra: assaulted Frec: 5 LogProb: -10.538793733406225
Palabra: asses Frec: 6 LogProb: -10.384643053578966
Palabra: assess Frec: 5 LogProb: -10.538793733406225
Palabra: asset Frec: 14 LogProb: -9.622503001532069
Palabra: assets Frec: 16 LogProb: -9.497339858578062
Palabra: assholes Frec: 24 LogProb: -9.111677377766078
Palabra: assist Frec: 13 LogProb: -9.69149587301902
Palabra: assistance Frec: 34 LogProb: -8.775205141144866
Palabra: associate Frec: 4 LogProb: -10.72111529020018
Palabra: associated Frec: 12 LogProb: -9.765603845172743
Palabra: associates Frec: 8 LogProb: -10.13332862529806
Palabra: assume Frec: 9 LogProb: -10.027968109640234
Palabra: assure Frec: 5 LogProb: -10.538793733406225
Palabra: assures Frec: 5 LogProb: -10.538793733406225
Palabra: asthma Frec: 19 LogProb: -9.334820929080289
Palabra: astronomical Frec: 4 LogProb: -10.72111529020018
Palabra: asymptomatic Frec: 13 LogProb: -9.69149587301902
Palabra: ate Frec: 7 LogProb: -10.251111660954443
Palabra: atm Frec: 5 LogProb: -10.538793733406225
Palabra: attached Frec: 5 LogProb: -10.538793733406225
Palabra: attachments Frec: 4 LogProb: -10.72111529020018
Palabra: attack Frec: 37 LogProb: -8.692967042907894
Palabra: attacking Frec: 10 LogProb: -9.932657929835909
Palabra: attacks Frec: 23 LogProb: -9.152499372286334
Palabra: attempt Frec: 19 LogProb: -9.334820929080289
Palabra: attempting Frec: 12 LogProb: -9.765603845172743
Palabra: attempts Frec: 7 LogProb: -10.251111660954443
Palabra: attend Frec: 7 LogProb: -10.251111660954443
Palabra: attendants Frec: 6 LogProb: -10.384643053578966
Palabra: attending Frec: 4 LogProb: -10.72111529020018
Palabra: attention Frec: 19 LogProb: -9.334820929080289
Palabra: attitude Frec: 11 LogProb: -9.84564655284628
Palabra: attitudes Frec: 8 LogProb: -10.13332862529806
Palabra: attorney Frec: 6 LogProb: -10.384643053578966
Palabra: attorneys Frec: 5 LogProb: -10.538793733406225
Palabra: auction Frec: 8 LogProb: -10.13332862529806
Palabra: audience Frec: 5 LogProb: -10.538793733406225
Palabra: aus Frec: 4 LogProb: -10.72111529020018
Palabra: ausbiz Frec: 4 LogProb: -10.72111529020018
Palabra: auspol Frec: 19 LogProb: -9.334820929080289
Palabra: australia Frec: 5 LogProb: -10.538793733406225
Palabra: authorities Frec: 22 LogProb: -9.19505898670513
Palabra: authority Frec: 13 LogProb: -9.69149587301902
Palabra: auto Frec: 16 LogProb: -9.497339858578062
Palabra: automated Frec: 5 LogProb: -10.538793733406225
Palabra: automotive Frec: 4 LogProb: -10.72111529020018
Palabra: avail Frec: 7 LogProb: -10.251111660954443
Palabra: availability Frec: 23 LogProb: -9.152499372286334
Palabra: available Frec: 168 LogProb: -7.200654487711206
Palabra: average Frec: 32 LogProb: -8.8340456411678
Palabra: avg Frec: 4 LogProb: -10.72111529020018
Palabra: avoid Frec: 192 LogProb: -7.067863013729394
Palabra: avoided Frec: 7 LogProb: -10.251111660954443
Palabra: avoiding Frec: 37 LogProb: -8.692967042907894
Palabra: aware Frec: 52 LogProb: -8.360261289082157
Palabra: awareness Frec: 17 LogProb: -9.440181444738116
Palabra: away Frec: 161 LogProb: -7.242956867401896
Palabra: awful Frec: 18 LogProb: -9.386114223467839
Palabra: awhile Frec: 5 LogProb: -10.538793733406225
Palabra: ayurved Frec: 6 LogProb: -10.384643053578966
Palabra: b Frec: 45 LogProb: -8.501911806145184
Palabra: babies Frec: 10 LogProb: -9.932657929835909
Palabra: baby Frec: 56 LogProb: -8.287501934799728
Palabra: bacon Frec: 4 LogProb: -10.72111529020018
Palabra: bacteria Frec: 10 LogProb: -9.932657929835909
Palabra: bacterial Frec: 7 LogProb: -10.251111660954443
Palabra: bad Frec: 200 LogProb: -7.0272482945752035
